name	style
allagash dubbel reserve	abbey dubbel
jw lees harvest ale	barley wine
affligem tripel	abbey tripel
firestone walker parabola	imperial stout
cantillon fou foune	lambic style fruit
hofbrau munchen original	helles
great divide fresh hop pale ale	american pale ale
brewdog jack hammer	india pale ale 40ipa41
aecht schlenkerla eiche doppelbock	smoked
post road pumpkin ale	spiceherbvegetable
mikkeller &40657  black	imperial stout
samuel adams triple bock	barley wine
new holland the poet	sweet stout
beamish irish stout	dry stout
kenya tusker lager	lager
greene king abbot ale &filtered&	ESB
carlsberg elephant	imperial pilsstrong pale lager
aecht schlenkerla helles lagerbier	helles
ayinger jahrhundert	helles
tyskie gronie	lager
weyerbacher insanity	barley wine
prairie bomb&033	imperial stout
lagunitas olde gnarlywine	barley wine
lagunitas a little sumpin wild ale	belgian strong ale
de molen hel & verdoemenis &hell & damnation&	imperial stout
alesmith x extra pale ale	american pale ale
avery salvation	belgian strong ale
sixpoint resin	imperial ipa
terrapin rye pale ale	american pale ale
lagunitas imperial stout	imperial stout
brewdog riptide	imperial stout
maredsous 6 blond	belgian ale
weltenburger kloster asam bock	doppelbock
brewdog tokyo	imperial stout
struise pannepot old monks ale pannepeut	abtquadrupel
surly darkness	imperial stout
palm speciale belge &belgian amber&	belgian ale
schofferhofer hefeweizen	german hefeweizen
north coast scrimshaw	pilsener
leinenkugels summer shandy	shandys
dogfish head red & white	belgian strong ale
gouden carolus hopsinjoor	belgian strong ale
samuel adams irish red ale	irish ale
uinta hop nosh ipa	india pale ale 40ipa41
mikkeller jackie brown	brown ale
lefebvre blanche de bruxelles	witbier
nogne o god jul	american strong ale 
bells consecrator doppelbock	doppelbock
samuel adams imperial series imperial stout	imperial stout
samuel adams rebel ipa	india pale ale 40ipa41
st feuillien cuvee de noel	belgian strong ale
brewdog punk ipa &6&	india pale ale 40ipa41
deschutes fresh squeezed ipa	india pale ale 40ipa41
avery samaels oak aged ale	barley wine
great divide denver pale ale	english pale ale
dieu du ciel corne du diable	india pale ale 40ipa41
boon framboise	lambic style fruit
pyramid hefeweizen	wheat ale
great lakes christmas ale	spiceherbvegetable
southern tier pmx &phin & matts extraordinary ale&	american pale ale
paulaner original munchner marzen	oktoberfestmrzen
avery the kaiser imperial oktoberfest	doppelbock
